code,num
C1072,735.26587
C1128,1405.4309
C1456,533.0757
C1840,605.40796
C1332,1265.9769
C1563,1923.6195
C1794,1097.0833
C1640,507.48514
C1377,391.89648
C2072,217.13435
C1472,330.89175
C1006,263.41583
C1083,313.6105
C1311,284.96716
C2676,524.0118
C2318,180.32466
C1603,389.016
C2523,273.65912
C2177,139.94926
C2411,770.20844
C2033,261.95804
C1604,490.02988
C2535,590.5639
C1040,434.46854
C2417,503.228
C1812,140.56021
C2253,169.66248
C1294,631.5798
C1772,516.93445
C2646,531.9271
C1152,942.98975
C2423,145.23462
C1844,470.5962
C1318,203.8999
C1729,93.50115
C1602,316.62247
C1239,364.57602
C1721,644.5028
C1902,855.20984
C1855,352.45905
C2600,420.23587
C1071,539.13617
C2295,452.5845
C1621,614.4946
C1852,788.8026
C2555,1156.2793
C1297,544.3383
C2323,578.0186
C2215,345.32242
C2112,405.60043
C1830,897.8466
C2602,232.10136
C2608,1267.2471
C1215,626.72546
C2369,616.82764
C1158,258.14902
C1887,495.02417
C1189,274.6454
C1637,486.88266
C1225,136.76752
C2374,376.8456
C2397,609.40985
C1105,761.772
C1782,461.0151
C1629,109.62227
C1708,287.80698
C2144,549.5672
C1617,825.74414
C1149,557.24146
C1323,465.4832
C1064,641.4423
C1019,301.94537
C2269,600.37964
C1416,838.0582
C1250,989.53265
C1741,399.51477
C1016,663.3269
C2675,879.8041
C2436,696.8486
C2039,812.7261
C1253,940.88617
C2028,1193.7467
C1166,292.87357
C1135,273.32648
C1216,302.3025
C1593,262.45596
C1826,169.7583
C1827,408.182
C1564,264.55865
C1495,1014.6167
C2653,908.8851
C1392,527.20184
C2128,289.74802
C1282,598.7446
C1521,1111.1941
C2076,1098.505
C1060,588.01514
C2473,1085.669
C2557,896.1253
C1835,917.82764
C2224,851.2618
C2222,361.9408
C2430,823.21405
C2497,595.46295
C1494,1218.529
C1457,523.6936
C1525,1078.9122
C1712,588.60016
C2267,1009.0606
C1623,268.5235
C2131,538.8881
C2691,1154.7916
C1147,843.52405
C1692,882.28955
C1570,814.72925
C1474,96.7319
C1633,160.90533
C2113,608.63464
C2175,813.28723
C2303,1622.276
C2547,531.9858
C2292,767.7559
C1496,741.29834
C1289,441.20096
C1849,707.41187
C1003,319.63922
C2268,349.29684
C2551,599.33936
C2688,114.32938
C1030,42.60669
C1327,105.04268
C2451,574.4105
C1749,591.4144
C1349,323.69394
C2043,330.18582
C1229,341.3666
C2363,489.30746
C1414,403.00885
C2174,509.7524
C2091,117.04015
C2335,320.90552
C1841,69.64633
C2404,140.83205
C1683,250.7478
C1038,272.29037
C2456,210.7344
C1266,518.60736
C2152,42.52802
C1267,367.01547
C2189,224.63634
