code,num
C1072,819.42377
C1128,1342.5316
C1456,642.66626
C1840,604.1427
C1332,1165.9327
C1563,1796.5573
C1794,1018.0557
C1640,496.89212
C1377,326.61893
C2072,226.08092
C1472,393.60928
C1006,353.99536
C1083,336.5507
C1311,239.16362
C2676,429.7008
C2318,135.7974
C1603,444.95074
C2523,255.72415
C2177,169.65608
C2411,697.81714
C2033,255.32584
C1604,512.98676
C2535,540.11145
C1040,292.8483
C2417,452.98706
C1812,128.7355
C2253,152.89302
C1294,657.1056
C1772,506.57892
C2646,581.0111
C1152,854.5872
C2423,105.596085
C1844,399.38474
C1318,182.21565
C1729,114.65977
C1602,320.9715
C1239,407.89206
C1721,652.9502
C1902,886.78564
C1855,343.14996
C2600,426.3557
C1071,568.2117
C2295,426.328
C1621,546.3339
C1852,729.20557
C2555,1262.9185
C1297,478.86627
C2323,632.3015
C2215,340.91122
C2112,356.06
C1830,854.55255
C2602,248.3848
C2608,1128.5415
C1215,607.8416
C2369,565.4377
C1158,251.41533
C1887,589.2502
C1189,316.8368
C1637,483.1357
C1225,147.24823
C2374,397.94928
C2397,606.8755
C1105,900.05066
C1782,455.19418
C1629,113.35245
C1708,339.56937
C2144,539.08075
C1617,771.7827
C1149,559.7907
C1323,412.4269
C1064,663.8877
C1019,284.18283
C2269,666.41364
C1416,793.6104
C1250,728.3483
C1741,505.7445
C1016,701.85455
C2675,894.90326
C2436,784.3352
C2039,755.8318
C1253,867.9488
C2028,1351.4926
C1166,354.44614
C1135,294.60437
C1216,284.303
C1593,267.1856
C1826,192.30505
C1827,390.40915
C1564,311.25873
C1495,888.5173
C2653,901.7213
C1392,553.4338
C2128,265.17603
C1282,682.80206
C1521,944.3232
C2076,1079.5575
C1060,664.1247
C2473,969.7552
C2557,784.7477
C1835,774.38684
C2224,616.4865
C2222,361.3567
C2430,909.6837
C2497,559.5765
C1494,1068.3467
C1457,532.3144
C1525,964.268
C1712,716.9204
C2267,941.263
C1623,323.58517
C2131,531.29913
C2691,1070.0519
C1147,776.3999
C1692,937.70306
C1570,875.8526
C1474,111.89364
C1633,106.15023
C2113,554.147
C2175,844.15625
C2303,1495.3519
C2547,609.9718
C2292,696.836
C1496,729.0633
C1289,359.92273
C1849,691.9365
C1003,274.24243
C2268,445.76474
C2551,612.76953
C2688,103.51736
C1030,21.964937
C1327,86.16641
C2451,566.32153
C1749,493.5367
C1349,247.0739
C2043,275.11185
C1229,245.03368
C2363,509.8816
C1414,428.07333
C2174,483.1407
C2091,117.98971
C2335,310.5673
C1841,72.50857
C2404,118.22744
C1683,271.40295
C1038,378.83163
C2456,196.94083
C1266,503.5852
C2152,34.66859
C1267,405.7365
C2189,202.06618
